Peptide_ID,n_reps,Kp_eff_nm,Kp_ads_nm,HC50_pred_mean_uM,HC50_pred_low_uM,HC50_pred_high_uM,HC50_cal_uM,HC50_gamma_uM,HC50_rank_uM,HC50_rank_enh_uM,HC50_rank_knn_uM,HC50_rank_combo_uM,HC50_rank_v3_uM,HC50_exp_uM,HC50_resid_log10,HC50_gamma_resid_log10,HC50_rank_resid_log10,HC50_rank_enh_resid_log10,HC50_rank_knn_resid_log10,HC50_rank_combo_resid_log10,HC50_rank_v3_resid_log10,HC50_rank_score,HC50_rank_enh_score,HC50_rank_knn_score,HC50_rank_combo_score,HC50_rank_v3_score,DeltaG_ads_kJ_per_mol,z_ads_nm,ESS_mean_median,QC_pass_fraction,Overlap_min_adjacent_median,JS_mean_adjacent_median,theta_at_1uM,Gamma_star_obs,Gamma_star_model,LP_star_obs,LP_star_model,LP_star_Q25,LP_star_Q50,LP_star_Q75,sequence_length,HC50_meta_uM,HC50_exp_source,replicate_ids,replicate_tags
solvia_1,2,28.580702560624236,28.580702560624236,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,20.51749575500822,15.71741454736961,9.632761174760535,10.0,11.433294840272511,11.403016640979725,10.0,0.09987758862673712,0.3121243522414179,0.1963811078511275,-0.016249207052088988,0.0,0.058171403164036795,0.05701975811040061,0.057544726182325624,0.983750792947911,1.0,1.0581714031640368,1.1433631121999028,-12.99227969715785,1.4118255945176048,605.5896113575138,1.0,0.2469769694654605,0.17627652918044917,1.8190280448641154e-05,0.00017211699211843763,0.0003531409655154828,9370.970326372983,4567.307062357049,1530.8535439567656,2183.9458457482842,3488.733214406076,16,10.0,meta,solvia_1_run_1;solvia_1_run_2,pmf_midplane
solvia_1023,2,65.18788868812987,65.18788868812987,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,27.57783001307039,5.900915177238085,4.749904380562816,6.3,5.124682262889249,6.3,6.3,0.30053703917315544,0.6412195408697268,-0.028421177539917686,-0.12265568244174985,0.0,-0.08967360572610861,0.0,-0.732807806013689,0.6766848670118318,0.7993405494535817,0.7096669437274731,0.7191707143798093,-23.3069243108795,0.27626592166433495,469.22616930086053,1.0,0.27884395232204273,0.21108751925872865,6.424300584057385e-05,0.0002473194729501307,0.0010826245053874388,6521.537534295475,1489.8085326724079,1530.8535439567656,2183.9458457482842,3488.733214406076,14,6.3,meta,solvia_1023_run_1;solvia_1023_run_2,pmf_midplane
solvia_1045,2,7.443848430767282,7.443848430767282,149.99999999999997,149.99999999999997,149.99999999999997,12.585706178041814,138.47624541293325,15.717414547356361,7.765956076725986,10.0,9.939398250033294,11.403016640979725,10.0,0.09987758862673712,1.1413752797478232,0.19638110785076135,-0.10980507009817053,0.0,-0.0026399078160442846,0.05701975811040061,0.06160337635592422,0.8901949299018295,1.0,0.9973600921839557,1.2214321618457498,-18.185869008133025,0.3961857925666399,375.48897125408524,1.0,0.2758045099080993,0.20425882821985414,6.093319594859553e-06,4.482789738886089e-05,0.000620759892016569,35979.89911985557,2598.2722894142794,1530.8535439567656,2183.9458457482842,3488.733214406076,20,10.0,meta,solvia_1045_run_1;solvia_1045_run_2,pmf_midplane
solvia_1125,2,5.33324377572588,5.33324377572588,149.99999999999997,149.99999999999997,149.99999999999997,150.0,150.0,150.0,150.0,150.0,150.0,150.00000000000003,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44256997928989755,2.1760912590556813,2.1760912590556813,2.1760912590556813,1.7474506713253906,-8.897525670213444,1.2166793315298703,540.5443049048026,1.0,0.2784845678145572,0.208106715180604,4.243376254012171e-06,0.00048176311007324784,0.0002263618995170667,3347.9176634367536,7125.329966074285,1530.8535439567656,2183.9458457482842,3488.733214406076,17,1000.0,meta,solvia_1125_run_1;solvia_1125_run_2,pmf_midplane
solvia_12,2,34.095774013638184,34.095774013638184,149.99999999999997,149.99999999999997,149.99999999999997,150.0,150.0,150.0,150.0,150.0,150.0,150.00000000000003,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5663804108448851,2.1760912590556813,2.1760912590556813,2.1760912590556813,1.8791008196908088,-13.489109082626353,1.6186708729006587,401.73729815180275,1.0,0.22536357727371165,0.211297459758301,3.634220049127715e-05,0.0030799428677773656,0.00037272022754456793,523.6795924628302,4327.383132469216,1530.8535439567656,2183.9458457482842,3488.733214406076,23,700.0,meta,solvia_12_run_1;solvia_12_run_2,pmf_midplane
solvia_1219,2,1.1046794945924556,1.1046794945924556,149.99999999999997,149.99999999999997,149.99999999999997,150.0,150.0,150.0,150.0,150.0,150.0,150.00000000000003,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9184939611070589,2.1760912590556813,2.1760912590556813,2.1760912590556813,2.2486971947240604,-5.858433649380894,1.496537205413718,440.0441767201078,1.0,0.25138758511614523,0.21041604477102027,9.265653507364413e-07,9.978801857347516e-05,0.00016272448454370453,16163.295442316565,9911.865631832794,1530.8535439567656,2183.9458457482842,3488.733214406076,20,249.9912112464796,meta,solvia_1219_run_1;solvia_1219_run_2,pmf_midplane
solvia_126,2,315.35301939524186,315.35301939524186,141.54986938068862,129.8191731930393,149.99999999999997,11.876700437103633,8.999911147997434,5.900915177238085,6.161076954767383,7.02844144310999,6.068740841692756,5.30224157997728,7.02844144310999,0.22783677161965865,0.10737919097521298,-0.07593965898101451,-0.05720239752374778,0.0,-0.06376043903379114,-0.12239951978335806,-0.7363857731448695,0.7896566333709307,0.8468590308946785,0.7830985918608874,0.6031409934985807,-27.511145522754912,0.0354408493346733,513.1574597649226,1.0,0.264836939217283,0.22183742583171973,0.00017517123447191693,0.0013347713371072625,0.0017091731551146822,1208.3741843767496,943.6745604035824,1530.8535439567656,2183.9458457482842,3488.733214406076,20,7.02844144310999,meta,solvia_126_run_1;solvia_126_run_2,pmf_midplane
solvia_14,2,396.375089907378,396.375089907378,96.87446542620125,88.84616467800744,104.28654335643161,8.128223720060262,4.630956177479851,18.399999999999995,23.466751035279227,18.399999999999995,21.551656965581444,52.53570214625479,18.4,-0.3548221744463488,-0.5991471517044213,0.0,0.10563514280880892,0.0,0.06866284282572588,0.4556367180230725,0.3475711974665897,1.3704529658183453,1.2648178230095364,1.3334806658352623,1.6425392468579485,-23.498788696382277,1.1943560630918786,265.2726323309648,1.0,0.23897386322995062,0.22313269272540787,0.0005577401433227351,0.0043921283624400636,0.0011054214115394716,367.2258851994019,1459.0844803342757,1530.8535439567656,2183.9458457482842,3488.733214406076,37,18.4,meta,solvia_14_run_1;solvia_14_run_2,pmf_midplane
solvia_1564,2,60.697008380887155,60.697008380887155,149.99999999999997,149.99999999999997,149.99999999999997,150.0,150.0,150.0,150.0,150.0,150.0,52.53570214625479,150.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4556367180230725,0.355973047718941,2.1760912590556813,2.1760912590556813,2.1760912590556813,1.5129315198666424,-15.828633395765754,1.0381379573062133,409.6587121725522,1.0,0.26191801914231067,0.2056139750101432,5.435409984358882e-05,0.005482888230763137,0.00048054669542138605,294.1703638525492,3356.3922948052214,1530.8535439567656,2183.9458457482842,3488.733214406076,21,228.7774590145182,meta,solvia_1564_run_1;solvia_1564_run_2,pmf_midplane
solvia_1743,2,41.66393166107406,41.66393166107406,149.99999999999997,149.99999999999997,149.99999999999997,150.0,150.0,150.0,150.0,150.0,150.0,150.00000000000003,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7564737230287976,2.1760912590556813,2.1760912590556813,2.1760912590556813,1.9505996632188585,-14.480225913388136,1.39108703236729,315.64524636740873,1.0,0.2639184631779955,0.21229901358831316,3.8528854451960976e-05,0.003763590441201308,0.00041508093584029313,428.5543953320346,3885.7559732086406,1530.8535439567656,2183.9458457482842,3488.733214406076,25,196.68176352859376,meta,solvia_1743_run_1;solvia_1743_run_2,pmf_midplane
