path,peptide,run,qc_pass,qc_reasons,erg_frac,overlap_adj_min,overlap_adj_mean,overlap_pass_frac,js_pass_frac,js_mean_adjacent,js_max_adjacent,ess_mean,ess_min,delta_g_ads,kp_eff,theta,hc50_range_low,hc50_range_high
simulations/solvia_524_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_524_run_1,pmf,True,[],1.0,0.24359740674722022,0.45264456512104306,1.0,1.0,0.22836471024988667,0.40497471895166387,473.5893209570125,156.62795914001126,-29.45891195671054,4602.586306867095,0.003992353549053303,9.38563870698087,12.931324440729199
simulations/solvia_1564_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1564_run_1,pmf,True,[],1.0,0.2522662311147407,0.48914481636631024,1.0,1.0,0.20357911707879828,0.39529855596335306,333.0406645210471,62.985951515685024,-18.019156812671195,225.86538842276244,0.00019232991379898728,191.2564492311496,263.50888560736166
simulations/solvia_8_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_8_run_1,pmf,True,[],1.0,0.2826459470810577,0.46662869429195947,1.0,1.0,0.21690690382540984,0.36746486752987695,649.2181927156744,180.58616211891788,-18.264083310989072,29.14391134382871,3.761753056752546e-05,1482.2379770620344,2042.1945461743585
simulations/solvia_1_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1_run_2,pmf,True,[],1.0,0.23654489574830748,0.6175151559781048,1.0,1.0,0.14559873200315504,0.4135673526955256,610.030329850089,62.81743568803433,-10.820923038395197,15.139455608709719,1.3351871757174446e-05,2853.353073613825,3931.286456979048
simulations/solvia_974_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_974_run_1,pmf,True,[],1.0,0.3175963733937767,0.479305265206194,1.0,1.0,0.20601643423263033,0.3289004097195996,424.6062595955143,118.0771868014115,-24.436468676561347,190.36802108695002,0.0002216547337583135,226.9194791609526,312.6446157328681
simulations/solvia_1045_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1045_run_2,pmf,True,[],1.0,0.22045620569643332,0.49739787984743844,1.0,1.0,0.2000871576918696,0.42985569968864157,345.9126717888841,61.398433729757514,-17.88639408906038,10.6407236123001,1.1785680179637309e-05,4059.706253813148,5593.373060809226
simulations/solvia_850_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_850_run_1,pmf,True,[],1.0,0.29655939067682247,0.47883392630158356,1.0,1.0,0.20827172541139083,0.3517246007468261,319.29792766934656,118.97078903330495,-23.777669629630974,77.54371157132557,0.00010201457056573294,557.0820807850776,767.5353113038847
simulations/solvia_164_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_164_run_2,pmf,True,[],1.0,0.2767310544824254,0.468781729337472,1.0,1.0,0.21622004940157502,0.3700794341892932,346.15290095353623,78.1017814309956,-27.785190012987435,1129.0062963612309,0.0018761889323532857,38.26215348238454,52.71674479795204
simulations/solvia_1743_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1743_run_1,pmf,True,[],1.0,0.2627350113879072,0.4719095253481608,1.0,1.0,0.21439400986898863,0.38569172602865276,316.60644781890335,57.59635131116447,-17.207581075979558,149.98155550230786,8.612760852068649e-05,288.0234976179269,396.8323744958105
simulations/solvia_617_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_617_run_2,pmf,True,[],1.0,0.3037459375677073,0.47587968326485963,1.0,1.0,0.21060104957407957,0.33981875273346046,368.13670749089675,51.50376083968281,-21.320404854626158,74.39670361371141,8.134943550834238e-05,580.6468579340451,800.0023375980177
