path,peptide_dir,run_dir,delta_g_ads,kp_eff,theta,hc50_rank,hc50_range_low,hc50_range_high,ess_mean,ess_min,erg_frac,overlap_min,js_max_adjacent,qc_pass,peptide_base
simulations/solvia_524_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_524_run_1,pmf,-29.45891195671054,4602.586306867095,0.003992353549053303,1.404282359053935,9.38563870698087,12.931324440729199,473.5893209570125,156.62795914001126,1.0,0.24359740674722022,0.40497471895166387,True,solvia_524
simulations/solvia_1564_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1564_run_1,pmf,-18.019156812671195,225.86538842276244,0.00019232991379898728,23.91652148620279,191.2564492311496,263.50888560736166,333.0406645210471,62.985951515685024,1.0,0.2522662311147407,0.39529855596335306,True,solvia_1564
simulations/solvia_8_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_8_run_1,pmf,-18.264083310989072,29.14391134382871,3.761753056752546e-05,1.404282359053935,1482.2379770620344,2042.1945461743585,649.2181927156744,180.58616211891788,1.0,0.2826459470810577,0.36746486752987695,True,solvia_8
simulations/solvia_1_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1_run_2,pmf,-10.820923038395197,15.139455608709719,1.3351871757174446e-05,19.58094501414918,2853.353073613825,3931.286456979048,610.030329850089,62.81743568803433,1.0,0.23654489574830748,0.4135673526955256,True,solvia_1
simulations/solvia_974_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_974_run_1,pmf,-24.436468676561347,190.36802108695002,0.0002216547337583135,23.91652148620279,226.9194791609526,312.6446157328681,424.6062595955143,118.0771868014115,1.0,0.3175963733937767,0.3289004097195996,True,solvia_974
simulations/solvia_1045_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1045_run_2,pmf,-17.88639408906038,10.6407236123001,1.1785680179637309e-05,23.91652148620279,4059.706253813148,5593.373060809226,345.9126717888841,61.398433729757514,1.0,0.22045620569643332,0.42985569968864157,True,solvia_1045
simulations/solvia_850_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_850_run_1,pmf,-23.777669629630974,77.54371157132557,0.00010201457056573294,23.91652148620279,557.0820807850776,767.5353113038847,319.29792766934656,118.97078903330495,1.0,0.29655939067682247,0.3517246007468261,True,solvia_850
simulations/solvia_164_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_164_run_2,pmf,-27.785190012987435,1129.0062963612309,0.0018761889323532857,8.116226975919291,38.26215348238454,52.71674479795204,346.15290095353623,78.1017814309956,1.0,0.2767310544824254,0.3700794341892932,True,solvia_164
simulations/solvia_1743_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1743_run_1,pmf,-17.207581075979558,149.98155550230786,8.612760852068649e-05,23.91652148620279,288.0234976179269,396.8323744958105,316.60644781890335,57.59635131116447,1.0,0.2627350113879072,0.38569172602865276,True,solvia_1743
simulations/solvia_617_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_617_run_2,pmf,-21.320404854626158,74.39670361371141,8.134943550834238e-05,23.91652148620279,580.6468579340451,800.0023375980177,368.13670749089675,51.50376083968281,1.0,0.3037459375677073,0.33981875273346046,True,solvia_617
simulations/solvia_490_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_490_run_2,pmf,-12.462845243072875,9.513576884825927,1.0795370903470075e-05,23.91652148620279,4540.6909217134435,6256.063047694077,556.6792869989528,25.64651509419688,1.0,0.28175464297583963,0.36680856230548065,True,solvia_490
simulations/solvia_482_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_482_run_1,pmf,-28.376970544662743,615.9408649516724,0.00022169673313595864,23.91652148620279,70.13370057422856,96.62865412449268,364.490301614492,79.25337325078337,1.0,0.23601847963040726,0.4146564395510361,True,solvia_482
simulations/solvia_527_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_527_run_1,pmf,-22.66869356323003,176.41203971083806,0.00020266900698465807,23.91652148620279,244.87111120510454,337.377975438144,328.7425807615165,22.66108877531531,1.0,0.26853185780236966,0.37552076139928015,True,solvia_527
simulations/solvia_32_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_32_run_2,pmf,-22.019146746723976,176.32694300046956,0.00015792126306781354,23.91652148620279,244.98928784716074,337.54079658942146,279.96225152622554,13.752288815086343,0.9722222222222222,0.2237956034066102,0.4263926809111592,True,solvia_32
simulations/solvia_624_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_624_run_1,pmf,-19.257132730644056,116.35009071474958,9.557870452470616e-05,23.91652148620279,371.2778557247463,511.53837899853943,352.27501879890497,55.39907336815557,1.0,0.18888374096567698,0.4631563372113271,True,solvia_624
simulations/solvia_941_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_941_run_2,pmf,-28.011217258485072,345.450832471292,0.00032484186773083844,23.91652148620279,125.04880038910268,172.28945831387477,421.8776039515934,76.82430328233721,1.0,0.22618023032949447,0.4248649239129892,True,solvia_941
simulations/solvia_126_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_126_run_2,pmf,-26.822038487824972,258.65128019590406,0.00013397945447944092,19.899748742132395,167.01333224112926,230.10725775444476,517.3637901228095,118.79503274423664,1.0,0.2718144176340818,0.37406284824537295,True,solvia_126
simulations/solvia_14_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_14_run_2,pmf,-26.025248719299384,191.39608248326405,0.0005596964021423696,23.91652148620279,225.70060804525224,310.96528219568086,214.99141811759498,44.720096792510304,1.0,0.29487708538191026,0.35237533127354204,True,solvia_14
simulations/solvia_215_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_215_run_1,pmf,-20.526826072452682,206.76654307353328,0.0002922181386095077,8.116226975924384,208.92264073201233,287.84897167521694,482.0705385477874,104.92637233945113,1.0,0.2672210555788884,0.37880012303609323,True,solvia_215
simulations/solvia_68_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_68_run_2,pmf,-6.3416392611467405,2.3287678968467143,1.7870771374138001e-06,23.91652148620279,18549.81436855292,25557.522018895135,596.6616518550176,126.1430483866329,1.0,0.2699038349360843,0.376072485099607,True,solvia_68
simulations/solvia_1023_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1023_run_2,pmf,-23.028285892971606,91.25855866163269,8.594598180535866e-05,23.91652148620279,473.36066696080223,652.1858078126609,416.53619056976345,74.02663760166341,1.0,0.27904781096279613,0.3669334768884537,True,solvia_1023
simulations/solvia_858_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_858_run_2,pmf,-8.58009420291803,4.192864744403646,2.741023712715246e-06,23.91652148620279,10302.791725301897,14194.957488193726,362.9997768574823,58.75709470323933,1.0,0.15145647572540438,0.5040911279237141,True,solvia_858
simulations/solvia_515_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_515_run_2,pmf,-14.05552322388437,13.348436989995662,5.151638781333305e-06,23.91652148620279,3236.2000304850662,4458.764486446092,400.9345103056889,43.05358681132023,1.0,0.2794913418109699,0.36462961348688055,True,solvia_515
simulations/solvia_1125_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1125_run_2,pmf,-7.121267764845952,3.4134334838654645,4.933893015782404e-06,23.91652148620279,12655.354908229561,17436.26676244962,489.78087043040676,150.5609278893105,1.0,0.23295845069248813,0.41418823832498586,True,solvia_1125
simulations/solvia_12_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_12_run_2,pmf,-15.193602817756664,49.9937298944268,7.527529845679364e-05,23.91652148620279,864.0726004075882,1190.5000272282325,365.74810475300137,32.99507844449351,1.0,0.25023882935284353,0.3945973538670127,True,solvia_12
simulations/solvia_8_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_8_run_2,pmf,-20.61263912908929,95.37146614879238,0.00020135729051786003,8.116226975923846,452.94692362762777,624.0602058869538,479.3420404698357,45.64746107998099,1.0,0.24131037379252446,0.4048032005734295,True,solvia_8
simulations/solvia_1564_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1564_run_2,pmf,-13.638109978860314,16.311161493649223,1.53609394994889e-05,23.91652148620279,2648.3835753064695,3648.8840370889134,486.2767598240573,110.92814255040896,1.0,0.27156980716988066,0.3752621326542185,True,solvia_1564
simulations/solvia_524_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_524_run_2,pmf,-16.254973599916326,30.461059921706816,4.682963168296444e-05,23.91652148620279,1418.1454061343586,1953.8892262295606,363.6211744179037,40.074851744769475,1.0,0.2834718521355383,0.3602585836381787,True,solvia_524
simulations/solvia_974_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_974_run_2,pmf,-14.602643469895686,38.968803866457236,5.840387129487182e-05,23.91652148620279,1108.5331831582137,1527.31238568465,441.25236985734796,21.662276516636723,0.972972972972973,0.2028076198730022,0.44726064277037936,True,solvia_974
simulations/solvia_1045_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1045_run_1,pmf,-18.48534392720567,5.207435272182483,3.1503097928321685e-06,23.91652148620279,8295.487113341916,11429.337800604419,405.0652707192864,13.137083317230065,0.9722222222222222,0.3311528141197653,0.31777464921081605,True,solvia_1045
simulations/solvia_1_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1_run_1,pmf,-15.163636355920502,53.95547765858474,2.4782016245955838e-05,19.899748742132395,800.6269996773677,1103.0860884443734,601.1488928649386,71.9199356096122,1.0,0.25740904318261365,0.3900407272387296,True,solvia_1
simulations/solvia_164_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_164_run_1,pmf,-24.166579940735215,555.6260721195483,0.00047417764884517545,13.19026186495912,77.74691354774554,107.11796977689384,408.43177894933666,101.71817100745473,1.0,0.20971580568388648,0.4353545025743918,True,solvia_164
simulations/solvia_1743_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1743_run_2,pmf,-11.752870750796715,11.573977851109426,1.7235734869195254e-05,23.91652148620279,3732.356563116385,5142.357931404798,314.6840449159141,29.053386085666205,1.0,0.2651019149680838,0.3818587727472478,True,solvia_1743
simulations/solvia_850_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_850_run_2,pmf,-22.171869279550602,19.897163187662557,2.6775044016316474e-05,23.91652148620279,2171.073925791464,2991.2574088682395,420.3364651026967,107.30988924910763,1.0,0.27345180785061696,0.3734685389758835,True,solvia_850
simulations/solvia_617_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_617_run_1,pmf,-17.529455825090405,9.522053196300947,4.092286111438946e-06,23.91652148620279,4536.648903697917,6250.494045094909,406.1585103175022,86.20482090363832,1.0,0.2806090316000278,0.3690991572664555,True,solvia_617
simulations/solvia_527_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_527_run_2,pmf,-27.78795701614629,956.800579929008,0.0018836720576866713,16.403922883304055,45.14860578069165,62.204745742286285,302.9506820350532,37.496626225983434,1.0,0.17871635472742112,0.47359914495444927,True,solvia_527
simulations/solvia_32_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_32_run_1,pmf,-23.222387492614367,88.95987529760437,4.9586131684798634e-05,19.899748742132395,485.592094744261,669.0379972032041,538.2168163953679,73.51918102865783,1.0,0.2112508437993583,0.4370794328836076,True,solvia_32
simulations/solvia_482_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_482_run_2,pmf,-27.04724201744737,306.5318018355163,0.0003123727093452151,17.875673396629864,140.925711248492,194.16431327570012,429.49845924888064,156.3899807888622,1.0,0.2600071271440426,0.38990151369655823,True,solvia_482
simulations/solvia_490_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_490_run_1,pmf,-13.587009340255628,13.544514806738418,1.1670513946272681e-05,23.91652148620279,3189.3510258825045,4394.216968993673,551.555301845718,57.20224681469592,1.0,0.2978994413551239,0.35107340612314764,True,solvia_490
simulations/solvia_126_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_126_run_1,pmf,-28.200252557684852,384.4849589237435,0.00022902736472289235,16.354462901417218,112.35345152349544,154.79808876570482,508.9511294070355,126.52829676568136,1.0,0.2578594608004842,0.38884993335477935,True,solvia_126
simulations/solvia_14_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_14_run_1,pmf,-20.97232867346517,820.8799775868991,0.0005557907220468578,18.111868864553998,52.624273186610814,72.50455416821936,315.55384654433476,31.377489412308293,1.0,0.18307064107799106,0.4653762147537921,True,solvia_14
simulations/solvia_624_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_624_run_2,pmf,-22.536805566884823,344.68519111285656,0.0003880289351815725,23.91652148620279,125.32656843910657,172.67216096054682,335.0815527926147,17.545157908046164,1.0,0.21881401976633788,0.4275387305468804,True,solvia_624
simulations/solvia_941_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_941_run_1,pmf,-28.127711997380953,743.402854144922,0.000555392226289832,23.91652148620279,58.108752143061736,80.06094739710728,378.1633716244908,33.21650736358657,1.0,0.30326529783098977,0.34551398493833285,True,solvia_941
simulations/solvia_858_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_858_run_1,pmf,-20.058920769884274,159.74880962788626,6.0420997690378705e-05,23.91652148620279,270.4133589137626,372.5695167256285,369.9755237575484,98.3821065984331,1.0,0.22968158040308906,0.4192489599763021,True,solvia_858
simulations/solvia_215_run_2/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_215_run_2,pmf,-22.421961999749776,268.00115717193404,0.00044124797991246104,19.899748742132395,161.18666295996053,222.0794023003901,365.86494965223085,33.78898279095358,1.0,0.2575764519283653,0.3850721224644552,True,solvia_215
simulations/solvia_68_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_68_run_1,pmf,-5.3177963463902636,1.148015156842126,7.293044401293047e-07,23.91652148620279,37628.60789467131,51843.85976599158,620.298133454328,50.90664285344242,1.0,0.21685518280697738,0.43452564657938664,True,solvia_68
simulations/solvia_1023_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1023_run_1,pmf,-23.58556272878739,46.565066268163505,4.8020439265895736e-05,23.91652148620279,927.6957095943516,1278.1585332188843,521.9161480319576,91.87353220682756,1.0,0.2786400936812894,0.36716726162840724,True,solvia_1023
simulations/solvia_12_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_12_run_1,pmf,-11.78461534749604,23.253352131237573,1.7545669876105106e-05,23.91652148620279,1857.7197795031575,2559.525029537684,437.7264915506042,143.55302725515332,1.0,0.20048832519457985,0.4463331068589085,True,solvia_12
simulations/solvia_1125_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_1125_run_1,pmf,-10.673783575580936,8.332808975409908,3.6494998929884637e-06,23.91652148620279,5184.111662877396,7142.553846631079,591.3077393791987,129.7497889463245,1.0,0.3240106849366263,0.32836562021685656,True,solvia_1125
simulations/solvia_515_run_1/pmf/pmf_midplane/pmf_analysis_results.yaml,solvia_515_run_1,pmf,-22.041447265825635,56.79209819578762,2.0386697678047937e-05,19.899748742132395,760.6377219068135,1047.9897501827209,631.9970507033779,98.36419320054765,1.0,0.2693121760771067,0.37333950159238943,True,solvia_515
